company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
נאנוניקס אימג'ינג בע"מ	http://www.nanonics.co.il		הרטום 19	הר חוצבים		41	software		02-6789573	ערן מעיין	ייצור, שיווק ופיתוח מערכות מיקרוסקופיה			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.nanonics.co.il">נאנוניקס אימג'ינג בע"מ</a>	הקובץ של הרל"י	Nanonics Imaging LTD	לא	בחר מקור		היי-טק	לא	לא	כן	לא	כן	אחר	לא	אהרון לואיס	512426529	לא	כן	לא	לא	כן		לא	כן	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		21	3	13						
נובלוס די אקס				אחר					0528118606	חיים גלעד	מפתחים כלים דיאגנוסטים לסרטן כדי לאפשר התאמת טיפול טובה יותר לחולה לפי מוטציות במחלה. מתמקדים בסרטן השד וסרטן ריאות.					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">נובלוס די אקס</a>	הקובץ של הרל"י	NovellusDx	לא	הפניה		ביו-טק	כן	לא	כן	כן	כן	הרחבת עסק בירושלים	לא			לא	לא	לא	לא	לא		לא	כן	כן	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	כן	לא										
ניביט	http://www.nibit.co.il		בית עומר, רחוב בית הדפוס 22, גבעת שאול	גבעת שאול				nibit@nibit.co.il	02-6541404	ניביט	ייצור ושיווק פתרונות תוכנה כוללים ERP לשוק המסחר הקמעונאי והסיטונאי. החברה מספקת שירותי תמיכה, הטמעה ואינטגרציה מערכתית			31.7698	35.21215	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.nibit.co.il">ניביט</a>	הקובץ של הרל"י	Nibit	לא	אתר אינטרנט	02-6541505	היי-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
סולאריס סינרג'י	http://solaris-synergy.com/		הרטום 12	הר חוצבים		5	software		052-2601804	יוסי פישר	חברת "clean tech"- פיתוח מערכות סולאריות ליצור חשמל, הצפות על מאגרי מים בטכנולוגיית PV מרכזית			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://solaris-synergy.com/">סולאריס סינרג'י</a>	הקובץ של הרל"י	Solaris synergy	לא	אחר		היי-טק	לא	כן	כן	לא	כן	מוסד אקדמי	לא	יוסי פישר	514169044	כן	לא	לא	לא	לא		לא	לא	כן	לא	כן	לא	לא	כן	כן		לא	כן	כן		4	1							
סונריום מדיקל			כפר ההיי-טק	אחר						מיכאל ברמן	חברת מכשור רפואי					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">סונריום מדיקל</a>	הקובץ של הרל"י	Sonarium Medical	לא	הפניה		ביו-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
סוסייטה אופטיקס	http://www.optix-online.com		הגן הטכנולוגי מלחה, בניין 1, כניסה ב'	Malcha			medical		02-6798525	גד שוקרון	פיתוח עדשות ומכירתן דרך האינטרנט ע"י טלמרקטינג ובניית אתרים. בעיקר לצרפת. בחברה 13 עובדים, מתוכם 2 בהנהלה, 7 בתחום האינטרנט ו-4 בטלמרקטינג.			31.7698	35.21215	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.optix-online.com">סוסייטה אופטיקס</a>	הקובץ של הרל"י	Optix	כן	בחר מקור		ביו-טק	לא	לא	כן	לא	כן	הרחבת עסק בירושלים	לא	גד שוקרון	514527134	לא	לא	לא	כן	לא		לא	לא	לא	כן	לא	לא	לא	לא	לא		לא	לא	לא										
סטם סל טרפיוטיקס			חממת ון-ליר, כפר ההייטק גבעת-רם	Givat Ram		2	pharma		02-5670986	זאק נעמי	פיתוח של אוכלוסיות מתאי גזע אנושיים לטיפול בסוכרת וגילוי תרופות חדשות לטיפול בסוכרת			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">סטם סל טרפיוטיקס</a>	הקובץ של הרל"י	Stem Cell Therapeutics	לא	אחר	02-5661881	ביו-טק	לא	לא	כן	לא	כן	אחר	לא	זאק נעמי	514528835	לא	לא	לא	לא	לא		כן	לא	לא	כן	לא	לא	לא	לא	לא		לא	לא	לא		2								
סיגמה-אולדריץ			קריית מדע	הר חוצבים						שירי	פיתוח פארמצבטי ויצור בתעשייה הכימית			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">סיגמה-אולדריץ</a>	הקובץ של הרל"י	sigma-aldrich	לא	הפניה		ביו-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Hagit Krakow	לא	לא	לא										
סיגנט-טק	http://sygnet-tech.com		כפר ההייטק גבעת רם, ת.ד. 39212	Givat Ram				investors@sygnet-tech.com	02-6516601	הילארי (אורלי) אלידן	פיתוח ושיווק מוצרי סלולר					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://sygnet-tech.com">סיגנט-טק</a>	הקובץ של הרל"י	Sygnet Technologies international	לא	אחר	02-6516602	היי-טק	לא	לא	לא	לא	כן	בחר מהות הפניה	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
סיוון	http://www.civan.co.il/		כנפי נשרים 5	גבעת שאול			software		02-6513339	אייל שקל	החברה מפתחת ליזרים לתעשיה			31.7941	35.2148	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.civan.co.il/">סיוון</a>	הקובץ של הרל"י	civan	לא	הפניה	02-6521896	היי-טק		לא	כן	לא	כן	הרחבת עסק בירושלים	לא	אייל שקל		לא	לא	לא	לא	לא		לא	כן	לא	כן	לא	לא	לא	כן	לא	Itzik Ozer	לא	כן	כן										
סינתזה	http://www.detect-ready.com		הרטום 10	HH		2			02-5864026	אריה גאסל	איבחון מחלות זיהומיות			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.detect-ready.com">סינתזה</a>	הקובץ של הרל"י	Muleclular Detection	כן	בחר מקור		ביו-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	אריה גאסל		לא	כן	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		7	4	7						
ספירה ואופק	http://www.sephira.fr		רח' חפצדי 5, בית עופר	גבעת שאול			software	joseph.bouaniche@sephira.fr	02-6550773	דניאל ישראל	פיתוח תוכנה			31.7941	35.2148	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.sephira.fr">ספירה ואופק</a>	הקובץ של הרל"י	Sephira & Ofek	כן	אתר אינטרנט	02-6510137	היי-טק	לא	לא	לא	לא	כן	אחר	לא	דניאל ישראל		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
פאוור קומניקיישנס			הרטום 9, ת.ד. 45139	HH					02-5870591	נועם פרוימוביצ'י	תוכנה			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">פאוור קומניקיישנס</a>	הקובץ של הרל"י	Power communications	לא	אחר	02-5870601	היי-טק	לא	לא	לא	לא	כן	אחר	לא	נועם פרוימוביצ'י		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
פינבירד	http://www.finbird-ts.com		המרפא 8	הר חוצבים					44203-5140606 שלוחה 205	סמדר אסולין	FinBird is a market technology provider, in FX and CFDs systems.					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.finbird-ts.com">פינבירד</a>	הקובץ של הרל"י	Finbird Trading solution	לא	אחר		היי-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
פרומינינג טרפיוטיקס	http://www.prominingtherapeutics.com		האוניברסיטה העיברית, כפר הי-טק, גבעת רם, ת.ד. 39158	Givat Ram		2	pharma		02-6509105	בועז עינבל	פיתוח תרופות לסרטן המעכבות קישור בין חלבונים			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.prominingtherapeutics.com">פרומינינג טרפיוטיקס</a>	הקובץ של הרל"י	ProMining Therapeutics	לא	אחר		ביו-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	איריס אלראי	514525989	לא	לא	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	כן			2							
פרמנקט			יזיב	עטרות					02-5853953	יוסי ברנד	ייצור כימיקלים					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">פרמנקט</a>	הקובץ של הרל"י	Fermentek	לא	הפניה	02-5853943	ביו-טק		לא	לא	לא		אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Hagit Krakow	לא	לא	לא										
פרסייט	http://www.parasight.com		גן טכנולוגי מלחה, בניין 8, ת.ד. 96951	Malcha		1			02-6737370	יוסי בכלת	חברת סטארט- אפ, מפתחת כלי דיאגנוסטי למחלת המלריה, באמצעות עיבוד תמונה.					Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.parasight.com">פרסייט</a>	הקובץ של הרל"י	parasight	כן	הפניה		ביו-טק		לא	כן	לא		אחר	לא	יוסי פולק	514496280	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	כן	לא	Hagit Krakow	לא	כן	כן		9	1							
קו-וקס	http://www.kovax.co.il		הרטום 19	HH		13	software		02-5865593	אורית קוטלר	פיתוח, ייצור ושיווק רכיבים לשוק המדגה בארץ ובעולם			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.kovax.co.il">קו-וקס</a>	הקובץ של הרל"י	Kovax	לא	בחר מקור	02-5879028	היי-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	יניב קוטלר	513391943	לא	כן	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		2	2	5						
קוואליטאס ביוטק				בחר איזור תעשיה					054-4449991	יורי שושן	מזון רפואי					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">קוואליטאס ביוטק</a>	הקובץ של הרל"י	Qualitas Biotech	לא	הפניה		היי-טק		לא	לא	לא		הרחבת עסק בירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
קולוגארד	http://www.cologuard.co.il/		בנין 2.3 כפר היי-טק האוניברסיטה העברית קמפוס גבעת רם	כפר היי-טק		1	medical		02-6553333	בועז אסף	פיתוח התקן הגנה על השקות במעי הגס			31.782	35.2155	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.cologuard.co.il/">קולוגארד</a>	הקובץ של הרל"י	Cologuard	לא	אחר		ביו-טק	לא	לא	כן	לא	כן	אחר	לא	בועז אסף	514525971	לא	לא	לא	כן	לא		לא	לא	לא	כן	לא	לא	לא	לא	לא		לא	כן	כן			1							
קומפיומט	http://www.compumat.co.il		גבעת רם, כפר ההייטק, ת.ד. 39036	כפר היי-טק		3		info@compumat.co.il	02-5667777	שרית קומפיומת	פתרונות למערכות IT. קומפיומת היא חברת בת של EDP מפתח-תקווה			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.compumat.co.il">קומפיומט</a>	הקובץ של הרל"י	Compumat	לא	אחר	02-5662322	היי-טק	לא	לא	כן	לא	כן	אחר	לא			לא	לא	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		18	12							
קונדור פסיפיק			קרית המדע 6	הר חוצבים					02-5322267	Condor Pacific Industries Inc	ציוד ומכשירי אלקטרוניקה לציוד ביטחוני וצבאי			31.809	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">קונדור פסיפיק</a>	הקובץ של הרל"י	Condor Pacific	כן	אתר אינטרנט		היי-טק	לא	לא	לא	לא	כן	בחר מהות הפניה	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
קיולייט ננוטק	http://www.qlightnano.com		פארק הי-טק, גבעת רם ת.ד. 39135	Givat Ram		13	software		02-6584253	זאב רום				31.782	35.2155	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.qlightnano.com">קיולייט ננוטק</a>	הקובץ של הרל"י	Qlight Nanotech	לא	אחר		היי-טק	לא	לא	כן	לא	כן	אחר	לא	קובי אולין	513958272	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		9	3	1						
ראשים תכנון וביצוע מערכות מידע	http://www.rashim.co.il		גן טכנולוגי מלחה, בניין 8	Malcha		23	software		072-2600002	יפתח שריג	פיתוח ומתן שירותי תמיכה למערכת מידע של מינהל אקדמי וניהול הדרכה			31.7698	35.21215	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.rashim.co.il">ראשים תכנון וביצוע מערכות מידע</a>	הקובץ של הרל"י	Rashim Information Systems	לא	אחר		היי-טק	לא	לא	כן	לא	כן	אחר	לא	יפתח שריג	511237398	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	כן	לא	לא		לא	לא	לא		10	3	10						
רג'נקיור	http://regenecure.co.il		הרטום 19	HH				harry@regenecure.co.il	0545985230	משה צברי				31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://regenecure.co.il">רג'נקיור</a>	הקובץ של הרל"י	Regenecure	לא	אחר	02-5401015	ביו-טק	כן	לא	כן	כן	כן	הרחבת עסק בירושלים	לא	משה צברי		לא	לא	לא	לא	לא		לא	כן	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	כן	לא										
רד בינת			ראול ולנברג 24, ת"א	אחר			media		03-6459550	רונן אילון	חברה להשכרת נכסים			31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">רד בינת</a>	הקובץ של הרל"י		לא	אחר		אחר		לא	כן	לא	כן	הרחבת עסק בירושלים	לא			לא	לא	לא	כן	לא		כן	כן	לא	כן	לא	לא	לא	לא	לא	Itzik Ozer	לא	לא	לא										
רזיאל תרפויטיקס				בחר איזור תעשיה					0542325070	Alon Bloomenfeld	פיתוח תרופה לטיפול בהשמנת יתר					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">רזיאל תרפויטיקס</a>	הקובץ של הרל"י	Raziel Therapeutics	לא	בחר מקור		בחר מגזר		לא	לא	לא	כן	בחר מהות הפניה	לא	Alon Bloomenfeld		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
ריי טכניקס			כפר הי-טק, ביתן 4-2, האוניברסיטה העברת בירושלים, גבעת רם, ת.ד. 39162	Givat Ram		8	pharma		02-5630941	בוריס זוסמן	תברה עוסקת בייצור ננו-יהלומים ובפותוח מוצרים חשדים מבוססים על תכונות יוצות דופן של ננו-יהלומים לצרכי תעשייה ולביו-מד (משחות תרמיות, תמיסות ננו-יהלום לטיפול בסרטן, שמנים טכניים, חומרי ליטוש ואחרים.			31.7741	35.2326	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">ריי טכניקס</a>	הקובץ של הרל"י	Ray Techniques	לא	בחר מקור	02-6535296	ביו-טק	לא	כן	כן	לא	כן	הרחבת עסק בירושלים	לא	אולגה לוינסון	514305671	כן	לא	לא	כן	לא		לא	לא	לא	כן	לא	לא	לא	לא	כן		כן	לא	לא		5	1	1						
רינלסנס			הר חוצבים בניין AVX	HH					0526071849	Avi Kleiman	ניתור בזמן אמת של תפקודי כליה			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">רינלסנס</a>	הקובץ של הרל"י	Renalsense	לא	אחר		ביו-טק	כן	לא	כן	כן	כן	בחר מהות הפניה	לא	Avi Kleiman		לא	לא	לא	לא	לא		לא	כן	לא	לא	כן	לא	לא	לא	לא	Shai Melcer	לא	כן	לא										
רנטסופט				בחר איזור תעשיה					052-7204440	מיקי לטין	החברה עוסקת במגוון תחומים: 1. שירותי אינטגרציה ב crm וב sap - בעיקר לחברות מצרפת. 2. שירותי קול סנטר לצרפת					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">רנטסופט</a>	הקובץ של הרל"י		לא	הפניה		היי-טק		לא	כן	לא	כן	מעבר לירושלים	לא	פטריק רנטסופט		לא	לא	לא	כן	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא	Itzik Ozer	לא	לא	לא										
רפא"ל				HH					04-8794704	רפי לוזון						Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">רפא"ל</a>	הקובץ של הרל"י	rafael	לא	הפניה		היי-טק		לא	כן	לא	כן	מעבר לירושלים	לא			כן	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Itzik Ozer	לא	לא	לא										
